Eigenvectors: 
|     0.315 |     0.435 |    -0.157 |     0.398 |     0.308 |    0.0208 |   -0.0638 |    -0.145 |    0.0577 |  6.62e-16 |    -0.099 |     -0.44 |    -0.426 |   -0.0144 |     0.046 |     0.134 | 
|     0.315 |    -0.203 |     0.378 |    -0.194 |     0.359 |     0.126 |     0.176 |    -0.341 |    -0.113 | -2.87e-16 |     0.297 |      0.18 |   -0.0532 |    0.0761 |    0.0194 |     0.495 | 
|     0.303 |    -0.122 |    -0.393 |    -0.297 |    -0.181 |      0.26 |     -0.28 |    -0.149 |   -0.0864 |       0.5 |    -0.198 |    -0.151 |     0.203 |     0.101 |     0.236 |     0.154 | 
|     0.271 |     0.335 |     0.209 |     0.186 |    -0.277 |     0.306 |     0.191 |     0.216 |     0.384 | -9.26e-17 |  4.75e-16 |     0.189 |     0.303 |    -0.338 |      0.25 |     0.176 | 
|     0.221 |    -0.316 |    0.0548 |     0.273 |     0.197 |     0.251 |    0.0872 |     0.103 |     -0.43 |  1.62e-16 |    -0.099 |    -0.227 |     0.299 |    -0.438 |    -0.281 |    -0.218 | 
|       0.2 |     0.166 |    -0.221 |    -0.128 |     0.306 |     0.289 |    -0.314 |    0.0483 |     0.313 | -7.37e-16 |     0.198 |     0.357 |    0.0355 |    0.0644 |    -0.504 |    -0.256 | 
|     0.177 |    0.0264 |     0.247 |    -0.293 |   -0.0331 |      0.33 |     0.408 |     0.294 |  -0.00667 |  3.89e-16 |    -0.396 |    -0.119 |    -0.256 |     0.404 |    -0.113 |    -0.214 | 
|     0.126 |    -0.122 |    -0.148 |   -0.0641 |    -0.181 |      0.26 |     -0.28 |     0.441 |    -0.215 |      -0.5 |     0.396 |    -0.151 |    -0.164 |     0.101 |     0.184 |     0.154 | 

Eigenvalues: 
|     0.441 |      6.96 |      7.08 |      2.33 |      2.29 |      1.55 |      6.14 |      2.84 |      5.75 |         4 |         5 |      4.46 |      4.29 |      3.34 |      3.26 |      4.25 | 

